Date,Average Views,,
01/09/2016,161590,,
01/10/2016,258196,,
01/11/2016,277659,,
01/12/2016,220168,,
01/01/2017,165985,,
01/02/2017,328150,,
01/03/2017,316454,,
01/04/2017,361272,,
01/05/2017,380383,,
01/06/2017,355174,,
01/07/2017,338751,,
01/08/2017,357107,,
01/09/2017,319528,,
01/10/2017,361226,,
01/11/2017,775572,,
01/12/2017,709882,,
01/01/2018,566080,,
01/02/2018,739996,,
01/03/2018,681910,,
01/04/2018,597475,,
01/05/2018,685698,,
01/06/2018,596582,,
01/07/2018,558964,,
01/08/2018,866493,,
01/09/2018,1105681,,
01/10/2018,1114775,,
01/11/2018,1052010,,
01/12/2018,999694,,
01/01/2019,812080,,
01/02/2019,970409,,
01/03/2019,873657,,`
01/04/2019,705544,,
01/05/2019,792742,,
01/06/2019,782011,,
01/07/2019,273877,,
01/08/2019,917902,,