Date,Average Views
01/08/2016,91
01/09/2016,1046
01/10/2016,1728
01/11/2016,3085
01/12/2016,3246
01/01/2017,1474
01/02/2017,2941
01/03/2017,5253
01/04/2017,7403
01/05/2017,7429
01/06/2017,6496
01/07/2017,10282
01/08/2017,8701
01/09/2017,17945
01/10/2017,14482
01/11/2017,25404
01/12/2017,14659
01/01/2018,15395
01/02/2018,17429
01/03/2018,16120
01/04/2018,7889
01/05/2018,13432
01/06/2018,18953
01/07/2018,23623
01/08/2018,22396
01/09/2018,32394
01/10/2018,16157
01/11/2018,55988
01/12/2018,22601
01/01/2019,42917
01/02/2019,35519
01/03/2019,45285
01/04/2019,28314
01/05/2019,21845
01/06/2019,45676
01/07/2019,31070
01/08/2019,38894